name,lga,state_id,state,postcode,latitude,longitude,map,type,id
Balgal Beach,Townsville,QLD,Queensland,4816,-19.01634,146.40830,8159,Town,ab1bdb5ffa3d20d0dd29629f22aa66c4
Balgarri,Kalgoorlie/Boulder,WA,Western Australia,6429,-30.48204,121.11730,3137,Locality,306c8b25a222eefba539af7383fd7316
Balgowan,Yorke Peninsula,SA,South Australia,5573,-34.32504,137.49473,6429,Locality,7626ec30d593ac7dc21970e9692f6683
Balgowan,Toowoomba,QLD,Queensland,4352,-27.25333,151.69444,9243,Locality,acef16b4667f86156afe59d28b8d1875
Balgowlah,Manly,NSW,New South Wales,2093,-33.79460,151.26090,9130,Suburb,9443dc585ff2cc32bb2283a2627471e6
Balgowlah Heights,Manly,NSW,New South Wales,2093,-33.80780,151.26500,9130,Suburb,64f1a0e2a2cb0fe678e013c7cc44a99a
Balgownie,Wollongong,NSW,New South Wales,2519,-34.38520,150.86960,9029,Suburb,7617865bcae3b5e1ac3b96eef524f4a6
Balhannah,Adelaide Hills,SA,South Australia,5242,-34.99094,138.82565,6628,Town,795c845cc896d13cedf3b4a6df6d9a38
Balickera,Port Stephens,NSW,New South Wales,2324,-32.64850,151.80960,9232,Suburb,b3e409ca649ffc80dc6ee7fb06170e30
Balingup,Donnybrook-Balingup,WA,Western Australia,6253,-33.78817,115.98545,2030,Town,41eca38017eccf44e85aaf61a6e48b2f
Balintore,Colac-Otway,VIC,Victoria,3254,-38.28121,143.57346,7621,Locality,f2337f253b551a0beae9125d595ea849
Balkuling,Quairading,WA,Western Australia,6383,-31.95278,117.15690,2334,Locality,42ac0bb844e7128dcc1916b938fe9124
Balla Balla,Roebourne,WA,Western Australia,6714,-20.69449,117.78860,2456,Locality,7493ee06e3f6d55ad8e54827a34b6082
Balladong,York,WA,Western Australia,6302,-31.92710,116.73900,2234,Locality,1455335d6a9b16d20d28e907ae318d9d
Balladonia,Dundas,WA,Western Australia,6443,-32.10174,124.17760,3733,Locality,b649d6877aaea1add06f02686a168c9a
Balladoran,Gilgandra,NSW,New South Wales,2831,-31.85680,148.65960,8634,Locality,948fc2ba0f4840a31a5e8f17d2173bfe
Ballajura,Swan,WA,Western Australia,6066,-31.83628,115.89180,2034,Suburb,4709913e852312a413b06691d597d9b0
Ballalaba,Palerang,NSW,New South Wales,2622,-35.59850,149.63460,8826,Locality,798a91111c7073c960093bc148ed5a0f
Ballan,Moorabool,VIC,Victoria,3342,-37.59987,144.22890,7722,Town,6354aa3dda376f56b9e975b9bdbeb2ad
Ballandean,Southern Downs,QLD,Queensland,4382,-28.80091,151.84276,9240,Town,d5bd6124f138941438c9ea15e11aed82
Ballangeich,Moyne,VIC,Victoria,3265,-38.18634,142.61497,7421,Locality,d3d6e49dd47fb8569831ba9cba97ac2d
Ballapur,Buloke,VIC,Victoria,3482,-35.97917,142.74793,7426,Locality,4f5a5b74d398e9a1e638a12dd843cdc9
Ballarat,Ballarat,VIC,Victoria,3350,-37.56266,143.86258,7622,City,7bc4f5b3cef424d28c28196152cec17f
Ballarat Central,Ballarat,VIC,Victoria,3350,-37.56287,143.85060,7622,Suburb,5751e5219c09fdfa116e8ee3df52f399
Ballarat East,Ballarat,VIC,Victoria,3350,-37.56320,143.86855,7622,Suburb,ace5d2d87761c988f82dffbcba387a13
Ballarat North,Ballarat,VIC,Victoria,3350,-37.53974,143.86762,7622,Suburb,eb57333291cd20cd7ffa57bea94886c1
Ballard,Lockyer Valley,QLD,Queensland,4352,-27.49944,151.98055,9243,Locality,be464ad8c4255c0984fab151b03a4aed
Ballaroo,Maranoa,QLD,Queensland,4465,-27.11444,148.62222,8643,Locality,355ec6e52ecbb6e015fedb1799962cb0
Ballast Head,Kangaroo Island,SA,South Australia,5223,-35.76041,137.76613,6426,Locality,5eec369cebb89c0629cb66a739c0aba1
Ballaying,Wagin,WA,Western Australia,6315,-33.30750,117.55920,2431,Locality,751d6f2308d9665599472e98f79f388f
Ball Bay,Mackay,QLD,Queensland,4741,-20.90450,148.99512,8656,Town,8dc66f4ef8de457ea217146051bdaf06
Balldale,Corowa Shire,NSW,New South Wales,2646,-35.84850,146.51790,8226,Locality,ca669ab431dc10dcd767119204e42f09
Ballendella,Campaspe,VIC,Victoria,3561,-36.29324,144.66940,7825,Locality,03dfc92726f7ee7a1d3029de2e824403
Ballengarra,Port Macquarie-Hastings,NSW,New South Wales,2441,-31.31520,152.70120,9435,Locality,5de4478908371e6b917c01b2760d4cd1
Balliang,Moorabool,VIC,Victoria,3340,-37.79245,144.33448,7722,Locality,443faef9e4d89c86008b8db153a01505
Balliang East,Moorabool,VIC,Victoria,3340,-37.80842,144.43698,7722,Locality,edb10b2d1dbda73e184e95f32c76b8a3
Ballidu,Wongan-Ballidu,WA,Western Australia,6606,-30.59611,116.77170,2236,Locality,9eb37eb0aabf6a20d1fa6cca48985c22
Ballimore,Dubbo,NSW,New South Wales,2830,-32.22240,148.92040,8633,Locality,d300e00d2d6fe982c4c7a2bb232375e6
Ballina,Ballina,NSW,New South Wales,2478,-28.86414,153.56541,9540,Town,a39392649ec927feb4b37ca6879153bf
Ballogie,South Burnett,QLD,Queensland,4610,-26.33722,151.53862,9245,Locality,9884363135b80d97714536575eecbd1a
Bally Bally,Beverley,WA,Western Australia,6304,-32.21333,117.13670,2333,Locality,79046867196bf26645efad3ff5f91995
Bally Park,Sorell,TAS,Tasmania,7173,-42.86670,147.61700,8412,Locality,d290d5e911aebbf908be4c6c517f1646
Ballyroe,Oberon,NSW,New South Wales,2795,-34.04850,149.56790,8829,Locality,2206e017e546c6bac6b2fee6449f0325
Ballyrogan,Ararat,VIC,Victoria,3378,-37.42826,143.07507,7523,Locality,581b4223d62ff587d41f5c3a5c8c539d
Balmain,Leichhardt,NSW,New South Wales,2041,-33.85602,151.17586,9130,Suburb,9ec117235b606590b44436a18c6f4982
Balmain East,Leichhardt,NSW,New South Wales,2041,-33.85774,151.19102,9130,Suburb,c0e1074b9231762518798a2cc2d6badf
Balmattum,Strathbogie,VIC,Victoria,3666,-36.71372,145.66418,8024,Locality,27c777f69d7989db42cf425ae4765eb2
Balmoral,Brisbane,QLD,Queensland,4171,-27.45417,153.06639,9543,Suburb,824c0308e44e8b8c93f3bcb1d2f02279
Balmoral,Southern Grampians,VIC,Victoria,3407,-37.21323,141.82455,7223,Locality,6ee5bb11ca9d049397ea17baa7946c56
Balmoral,Lake Macquarie,NSW,New South Wales,2283,-33.04300,151.57620,9231,Suburb,b68b31406aa0825f8f6a5ee079521351
Balmoral,Wingecarribee,NSW,New South Wales,2571,-34.31153,150.51608,9029,Town,6517bb5d964a84c661b6658431f6d8d6
Balmoral Ridge,Sunshine Coast,QLD,Queensland,4552,-26.74361,152.89166,9444,Locality,4ce6d8aed35e56a9fb23fdde2925eeca
Balnagowan,Mackay,QLD,Queensland,4740,-21.11805,149.01805,8755,Locality,5c05ae38c63cd8ac67288ff3451c2154
Balnarring,Mornington Peninsula,VIC,Victoria,3926,-38.37353,145.12640,7921,Town,604223b35c91d278a9c8be49d47b8379
Balnarring Beach,Mornington Peninsula,VIC,Victoria,3926,-38.38971,145.12434,7921,Town,45b2038ab72d3c85d73cd768e50e0514
Balook,Wellington,VIC,Victoria,3971,-38.43914,146.59292,8221,Locality,6db3d592ac402e02520cb45ae6395943
Balranald,Balranald,NSW,New South Wales,2715,-34.63940,143.56333,7628,Town,0153c71ac8ca4ba0ad7658a65609bcc7
Balwyn,Boroondara,VIC,Victoria,3103,-37.80970,145.08230,7922,Suburb,a4d9cfea7891b8e694c9927737a3426d
